occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability
Physician assistants,29-1071,Healthcare,Master's degree,133260.0,162700.0,20.0,Much faster than average,0.11,0.271,0.106,Low,Oral Comprehension,Verbal,Perceptual,3.283,3.936,3.517,2.97,2.815,3.227,1.94,3.128
Solar photovoltaic installers,47-2231,Construction And Extraction,High school diploma or equivalent,51860.0,28600.0,42.0,Much faster than average,0.11,0.11,-0.944,Low,Problem Sensitivity,Reasoning,Spatial,2.863,2.875,3.144,2.315,2.25,2.707,2.935,2.875
Dancers and choreographers,27-2030,Entertainment And Sports,See How to Become One,51022.0,17000.0,5.0,Faster than average,0.107,0.146,-2.123,Low,Oral Comprehension,Verbal,Spatial,2.974,3.454,3.322,1.815,3.0,2.52,2.782,2.812
Skincare specialists,39-5094,Personal Care And Service,Postsecondary nondegree award,41560.0,97400.0,7.0,Much faster than average,0.106,0.197,-0.263,Low,Oral Comprehension,Verbal,Verbal,2.626,3.502,2.966,1.5,2.0,2.247,1.625,2.69
Stationary engineers and boiler operators,51-8021,Production,High school diploma or equivalent,75190.0,33300.0,2.0,Slower than average,0.105,0.163,-0.503,Low,Oral Comprehension,Verbal,Spatial,2.82,3.405,3.034,2.0,2.12,2.663,2.375,2.75
Cooks,35-2010,Food Preparation And Serving,See How to Become One,35760.0,2805100.0,5.0,Faster than average,0.103,0.091,-0.694,Low,Oral Comprehension,Verbal,Attention,2.632,3.006,2.843,2.323,2.202,2.359,1.812,2.9
Dental assistants,31-9091,Healthcare,Postsecondary nondegree award,47300.0,381900.0,6.0,Faster than average,0.1,0.267,-0.527,Low,Oral Comprehension,Verbal,Attention,2.767,3.565,3.034,2.185,2.0,2.417,1.685,2.81
Carpenters,47-2031,Construction And Extraction,High school diploma or equivalent,59310.0,959000.0,4.0,As fast as average,0.089,0.144,-1.324,Low,Problem Sensitivity,Reasoning,Spatial,2.931,3.046,3.124,2.782,2.185,2.71,3.06,2.75
Firefighters,33-2011,Protective Service,Postsecondary nondegree award,59530.0,344900.0,3.0,As fast as average,0.088,0.14,-1.32,Low,Problem Sensitivity,Reasoning,Spatial,3.196,3.501,3.329,2.09,2.625,3.25,3.282,3.343
Elevator and escalator installers and repairers,47-4021,Construction And Extraction,High school diploma or equivalent,106580.0,24200.0,5.0,Faster than average,0.079,0.184,-0.86,Low,Problem Sensitivity,Reasoning,Spatial,3.008,3.472,3.287,2.125,2.38,2.75,2.755,2.94
General maintenance and repair workers,49-9071,Installation Maintenance And Repair,High school diploma or equivalent,48620.0,1629700.0,4.0,As fast as average,0.078,0.137,-1.014,Low,Problem Sensitivity,Reasoning,Spatial,2.807,3.0,2.979,2.12,2.12,2.953,2.75,2.685
Automotive service technicians and mechanics,49-3023,Installation Maintenance And Repair,Postsecondary nondegree award,49670.0,805600.0,4.0,As fast as average,0.073,0.082,-0.955,Low,Deductive Reasoning,Reasoning,Spatial,2.958,3.064,3.213,2.093,2.5,3.082,2.688,3.032
Insulation workers,47-2130,Construction And Extraction,See How to Become One,50730.0,67400.0,4.0,As fast as average,0.073,0.048,-1.444,Low,Oral Expression,Verbal,Spatial,2.668,2.955,2.805,2.188,2.0,2.565,2.532,2.72
Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Production,High school diploma or equivalent,45820.0,66800.0,-1.0,Decline,0.069,0.091,-0.363,Low,Visualization,Spatial,Spatial,2.825,3.137,3.065,2.373,2.127,2.751,2.312,2.792
Forest and conservation workers,45-4011,Farming Fishing And Forestry,High school diploma or equivalent,43680.0,10800.0,-5.0,Decline,0.065,0.043,-1.064,Low,Problem Sensitivity,Reasoning,Spatial,2.982,3.28,3.179,2.435,2.12,2.873,2.88,2.94
"Plumbers, pipefitters, and steamfitters",47-2152,Construction And Extraction,High school diploma or equivalent,62970.0,504500.0,4.0,As fast as average,0.064,0.075,-1.121,Low,Problem Sensitivity,Reasoning,Spatial,2.988,3.17,3.223,2.628,2.06,2.875,2.875,2.905
"Barbers, hairstylists, and cosmetologists",39-5010,Personal Care And Service,Postsecondary nondegree award,35420.0,651200.0,5.0,Faster than average,0.063,0.12,-0.706,Low,Oral Comprehension,Verbal,Attention,2.679,3.156,2.929,2.032,2.0,2.313,2.125,2.938
Semiconductor processing technicians,51-9141,Production,High school diploma or equivalent,51180.0,31900.0,11.0,Much faster than average,0.062,0.234,-0.637,Low,Written Comprehension,Verbal,Spatial,2.722,3.315,2.914,2.0,2.25,2.583,2.25,2.5
Manicurists and pedicurists,39-5092,Personal Care And Service,Postsecondary nondegree award,34660.0,210100.0,7.0,Much faster than average,0.056,0.083,0.034,Low,Oral Expression,Verbal,Attention,2.303,2.625,2.551,1.565,1.75,2.04,1.75,2.75
Optometrists,29-1041,Healthcare,Doctoral or professional degree,134830.0,47800.0,8.0,Much faster than average,0.05,0.3,0.504,Low,Deductive Reasoning,Reasoning,Perceptual,3.303,3.843,3.641,3.0,2.38,3.33,2.0,3.065
Small engine mechanics,49-3050,Installation Maintenance And Repair,See How to Become One,48240.0,78000.0,4.0,As fast as average,0.049,0.085,-0.848,Low,Problem Sensitivity,Reasoning,Spatial,2.817,3.01,3.167,2.06,2.207,2.583,2.627,2.812
Food preparation workers,35-2021,Food Preparation And Serving,No formal educational credential,34220.0,902700.0,-3.0,Decline,0.046,0.037,-1.226,Low,Oral Expression,Verbal,Spatial,2.369,2.688,2.59,2.0,2.0,2.04,1.81,2.565
Wind turbine technicians,49-9081,Installation Maintenance And Repair,Postsecondary nondegree award,62580.0,13600.0,50.0,Much faster than average,0.043,0.043,-0.971,Low,Oral Comprehension,Verbal,Spatial,2.993,3.25,3.25,2.06,2.75,3.0,2.75,2.87
Sheet metal workers,47-2211,Construction And Extraction,High school diploma or equivalent,60850.0,127000.0,2.0,Slower than average,0.039,0.066,-1.175,Low,Visualization,Spatial,Spatial,2.887,2.938,2.964,2.875,2.0,2.747,3.0,3.065
"Welders, cutters, solderers, and brazers",51-4121,Production,High school diploma or equivalent,51000.0,457300.0,2.0,Slower than average,0.039,0.088,-1.198,Low,Problem Sensitivity,Reasoning,Spatial,2.47,2.562,2.652,2.0,1.81,2.542,2.343,2.47
Hazardous materials removal workers,47-4041,Construction And Extraction,High school diploma or equivalent,48490.0,51300.0,1.0,Slower than average,0.032,0.081,-0.689,Low,Problem Sensitivity,Reasoning,Spatial,3.108,3.562,3.341,2.44,2.62,2.917,2.685,3.0
Glaziers,47-2121,Construction And Extraction,High school diploma or equivalent,55440.0,60500.0,3.0,As fast as average,0.031,0.083,-1.389,Low,Information Ordering,Reasoning,Spatial,2.554,2.815,2.803,2.315,1.88,2.123,2.5,2.435
"Painters, construction and maintenance",47-2141,Construction And Extraction,No formal educational credential,48660.0,342200.0,4.0,As fast as average,0.029,0.057,-1.588,Low,Oral Comprehension,Verbal,Spatial,2.459,2.843,2.627,2.06,1.5,2.127,2.375,2.565
Construction equipment operators,47-2070,Construction And Extraction,High school diploma or equivalent,58320.0,539500.0,4.0,As fast as average,0.029,0.018,-1.095,Low,Problem Sensitivity,Reasoning,Spatial,2.623,2.676,2.727,2.04,1.96,2.501,2.917,2.96
Janitors and building cleaners,37-2011,Building And Grounds Cleaning,No formal educational credential,35930.0,2447700.0,2.0,Slower than average,0.028,0.0,-1.436,Low,Oral Comprehension,Verbal,Spatial,2.208,2.53,2.573,1.25,1.5,2.04,1.75,2.31
Butchers,51-3021,Production,No formal educational credential,38960.0,143100.0,1.0,Slower than average,0.026,0.132,-0.971,Low,Oral Comprehension,Verbal,Attention,2.648,2.81,2.747,2.56,2.0,2.583,2.19,2.94
Painting and coating workers,51-9120,Production,See How to Become One,47390.0,174300.0,1.0,Slower than average,0.02,0.022,-1.18,Low,Oral Comprehension,Verbal,Spatial,2.461,2.689,2.638,1.937,1.96,2.416,2.25,2.44
Flooring installers and tile and stone setters,47-2040,Construction And Extraction,No formal educational credential,52000.0,112300.0,6.0,Faster than average,0.017,0.055,-1.46,Low,Problem Sensitivity,Reasoning,Spatial,2.626,2.875,2.831,2.298,1.875,2.344,2.5,2.66
"Drywall installers, ceiling tile installers, and tapers",47-2080,Construction And Extraction,No formal educational credential,58800.0,118600.0,4.0,As fast as average,0.01,0.021,-1.594,Low,Oral Expression,Verbal,Spatial,2.505,2.751,2.669,1.905,2.0,2.31,2.47,2.622
Boilermakers,47-2011,Construction And Extraction,High school diploma or equivalent,73340.0,10400.0,-2.0,Decline,0.0,0.03,-1.098,Low,Problem Sensitivity,Reasoning,Spatial,2.942,3.155,3.234,2.38,2.0,2.793,2.75,2.94
Athletes and sports competitors,27-2021,Entertainment And Sports,No formal educational credential,62360.0,19100.0,5.0,Faster than average,0.0,0.0,-1.814,Low,Oral Comprehension,Verbal,Spatial,2.936,3.47,3.2,2.12,2.38,2.627,2.44,3.0
Diesel service technicians and mechanics,49-3031,Installation Maintenance And Repair,High school diploma or equivalent,60640.0,319900.0,2.0,Slower than average,0.0,0.0,-1.01,Low,Problem Sensitivity,Reasoning,Spatial,2.826,2.905,3.141,2.06,2.12,2.873,2.56,2.88
Electrical power-line installers and repairers,49-9051,Installation Maintenance And Repair,High school diploma or equivalent,92560.0,127400.0,7.0,Much faster than average,0.0,0.0,-1.081,Low,Problem Sensitivity,Reasoning,Spatial,3.011,3.315,3.319,2.25,2.25,2.833,2.81,2.94
Roofers,47-2181,Construction And Extraction,No formal educational credential,50970.0,166700.0,6.0,Faster than average,0.0,0.04,-1.753,Low,Problem Sensitivity,Reasoning,Spatial,2.654,2.78,2.857,2.06,2.0,2.54,2.5,2.94
