Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level
53,Bachelor's,6,Manufacturing,Production Supervisor,Medium,Mid,29,59,79
23,Bachelor's,2,IT,Software Engineer,Small,Mid,57,58,53
37,Bachelor's,9,Logistics,Dispatcher,Medium,Mid,67,38,49
57,Bachelor's,14,Healthcare,Nurse,Medium,Mid,14,81,88
40,High School,6,Manufacturing,Operator,Small,Senior,26,83,61
35,Bachelor's,11,Logistics,Supply Chain Analyst,Medium,Senior,42,53,79
25,Master's,1,Finance,Accountant,Small,Mid,18,88,51
59,Bachelor's,9,Telecom,Network Engineer,Medium,Mid,75,13,94
51,Bachelor's,7,Telecom,Operations Analyst,Medium,Senior,15,79,51
60,Bachelor's,10,Education,Teacher,Large,Senior,74,23,83
23,High School,2,Logistics,Supply Chain Analyst,Small,Mid,63,34,75
57,Bachelor's,12,IT,Data Analyst,Medium,Mid,16,74,94
53,Master's,17,IT,Software Engineer,Small,Mid,10,95,49
56,Bachelor's,5,Finance,Auditor,Medium,Entry,51,42,26
25,High School,1,Education,Teacher,Large,Mid,16,71,71
27,Bachelor's,3,Healthcare,Medical Assistant,Small,Mid,70,36,41
45,Bachelor's,5,Finance,Auditor,Large,Entry,57,38,56
35,Master's,7,Finance,Financial Analyst,Small,Entry,35,51,38
49,High School,4,Healthcare,Medical Assistant,Medium,Senior,63,30,75
39,Master's,14,Finance,Auditor,Small,Mid,30,58,78
31,Bachelor's,5,IT,ML Engineer,Small,Entry,67,21,72
33,Bachelor's,1,Education,Teacher,Small,Mid,51,73,91
40,Bachelor's,10,Logistics,Supply Chain Analyst,Medium,Entry,94,17,23
51,High School,9,Healthcare,Nurse,Medium,Mid,47,59,72
55,Master's,9,IT,Software Engineer,Small,Mid,64,45,40
34,High School,5,Logistics,Supply Chain Analyst,Medium,Mid,32,68,48
24,Bachelor's,3,Telecom,Operations Analyst,Small,Senior,36,64,73
24,Bachelor's,3,Education,Research Assistant,Large,Mid,56,33,76
58,Bachelor's,7,IT,Software Engineer,Medium,Mid,77,37,41
45,Bachelor's,9,Logistics,Warehouse Manager,Medium,Mid,31,77,75
56,Master's,12,Finance,Auditor,Large,Entry,54,51,33
49,High School,0,Manufacturing,Operator,Medium,Entry,88,3,29
28,Bachelor's,4,Education,Research Assistant,Small,Entry,35,60,61
44,Bachelor's,11,Manufacturing,Production Supervisor,Large,Senior,65,31,62
24,Bachelor's,3,Healthcare,Health Analyst,Small,Mid,61,42,64
29,Bachelor's,8,Logistics,Warehouse Manager,Large,Entry,76,30,52
46,Bachelor's,4,Retail,Sales Associate,Medium,Mid,73,23,68
22,PhD,1,Education,Teacher,Large,Senior,29,52,74
29,High School,5,Manufacturing,Quality Engineer,Large,Mid,80,21,75
37,High School,10,Logistics,Supply Chain Analyst,Large,Mid,30,64,26
33,High School,9,Telecom,Operations Analyst,Medium,Entry,80,28,62
47,Bachelor's,7,Finance,Auditor,Small,Mid,15,71,27
30,High School,8,Healthcare,Medical Assistant,Medium,Entry,39,44,94
34,Master's,13,Retail,Sales Associate,Large,Entry,86,13,85
41,High School,3,Finance,Accountant,Small,Senior,67,41,55
25,Bachelor's,4,Finance,Accountant,Medium,Entry,30,72,44
32,Bachelor's,10,Manufacturing,Quality Engineer,Small,Mid,26,78,53
58,High School,17,IT,Software Engineer,Large,Mid,83,21,46
51,Bachelor's,10,Education,Research Assistant,Medium,Entry,38,69,44
52,Master's,13,Telecom,Network Engineer,Large,Entry,36,69,20
59,High School,6,Healthcare,Nurse,Large,Mid,71,16,97
34,Master's,0,Logistics,Warehouse Manager,Large,Mid,13,91,90
60,Master's,5,Retail,Inventory Analyst,Small,Mid,83,24,80
29,Bachelor's,3,Education,Academic Coordinator,Medium,Entry,29,58,75
54,High School,14,Manufacturing,Operator,Small,Senior,66,19,32
46,Master's,6,Retail,Sales Associate,Medium,Mid,74,8,36
30,Bachelor's,5,Healthcare,Medical Assistant,Medium,Senior,31,70,55
35,Master's,13,IT,Data Analyst,Medium,Entry,92,10,76
35,Bachelor's,4,Manufacturing,Operator,Medium,Mid,81,3,86
22,High School,1,Telecom,Network Engineer,Medium,Entry,30,78,92
35,Bachelor's,11,Telecom,Support Specialist,Medium,Mid,57,36,34
31,High School,9,Retail,Inventory Analyst,Medium,Entry,50,34,68
40,Master's,7,Retail,Inventory Analyst,Large,Entry,57,34,89
48,Bachelor's,9,Manufacturing,Quality Engineer,Medium,Entry,84,21,73
47,PhD,2,Retail,Inventory Analyst,Medium,Entry,79,24,94
49,Bachelor's,9,Manufacturing,Production Supervisor,Medium,Mid,28,80,43
23,Bachelor's,2,Education,Teacher,Small,Entry,93,0,73
50,Master's,5,Telecom,Operations Analyst,Medium,Entry,44,46,21
48,Master's,2,Manufacturing,Quality Engineer,Medium,Entry,23,66,51
56,Bachelor's,10,Healthcare,Health Analyst,Medium,Entry,63,22,86
46,Bachelor's,4,IT,Data Analyst,Medium,Mid,71,32,54
60,Master's,10,Education,Teacher,Small,Mid,23,78,82
41,Bachelor's,11,Logistics,Warehouse Manager,Large,Mid,33,74,89
25,Bachelor's,2,Manufacturing,Operator,Medium,Mid,38,61,84
29,Bachelor's,2,IT,Data Analyst,Large,Mid,46,74,25
24,Bachelor's,3,Education,Academic Coordinator,Large,Mid,20,81,45
24,Bachelor's,3,Education,Academic Coordinator,Small,Senior,83,15,47
39,Bachelor's,0,Finance,Financial Analyst,Medium,Mid,74,32,47
32,Master's,7,Telecom,Network Engineer,Small,Entry,41,41,56
55,Bachelor's,7,Retail,Inventory Analyst,Small,Mid,75,22,67
41,Bachelor's,15,Healthcare,Health Analyst,Medium,Entry,48,45,90
56,Bachelor's,8,IT,ML Engineer,Medium,Entry,11,89,39
45,Bachelor's,6,IT,ML Engineer,Large,Mid,85,7,52
58,Bachelor's,18,Education,Academic Coordinator,Large,Senior,66,36,73
58,Bachelor's,13,Finance,Accountant,Small,Entry,83,14,67
46,High School,11,Logistics,Dispatcher,Small,Entry,57,54,66
22,Bachelor's,1,Manufacturing,Operator,Small,Entry,82,22,57
39,Bachelor's,12,IT,ML Engineer,Medium,Mid,50,56,69
49,Bachelor's,17,Finance,Accountant,Medium,Entry,87,21,73
21,Bachelor's,0,Finance,Accountant,Small,Entry,42,61,50
35,Bachelor's,9,Finance,Financial Analyst,Large,Entry,35,51,73
38,Bachelor's,12,Telecom,Network Engineer,Small,Mid,82,14,77
32,Master's,9,IT,Software Engineer,Small,Mid,39,68,92
51,Bachelor's,1,Education,Academic Coordinator,Medium,Mid,85,21,93
24,Master's,3,Logistics,Dispatcher,Medium,Entry,76,36,62
36,Bachelor's,12,Telecom,Network Engineer,Small,Entry,33,70,54
44,Master's,10,Healthcare,Nurse,Small,Entry,27,70,98
59,High School,9,IT,Data Analyst,Medium,Mid,69,36,25
34,Bachelor's,8,Education,Teacher,Medium,Entry,14,95,99
39,High School,9,Education,Academic Coordinator,Medium,Entry,46,46,59
36,Bachelor's,8,Finance,Auditor,Small,Mid,40,48,54
36,Master's,13,Healthcare,Nurse,Medium,Entry,37,51,85
47,Master's,9,Finance,Auditor,Medium,Entry,73,28,77
58,High School,15,Healthcare,Nurse,Small,Mid,56,41,90
38,Bachelor's,5,Logistics,Warehouse Manager,Medium,Mid,27,70,43
38,Bachelor's,3,Education,Teacher,Small,Entry,29,58,85
52,Bachelor's,6,IT,Software Engineer,Medium,Entry,17,84,38
29,High School,3,Telecom,Operations Analyst,Large,Entry,78,14,20
26,Bachelor's,5,IT,Software Engineer,Medium,Senior,10,69,62
51,Bachelor's,5,Education,Teacher,Medium,Entry,69,34,83
51,Bachelor's,7,Education,Teacher,Small,Entry,67,36,68
28,Master's,7,Healthcare,Medical Assistant,Large,Mid,55,49,67
48,Bachelor's,9,Manufacturing,Quality Engineer,Large,Entry,22,76,91
26,Master's,5,Education,Teacher,Medium,Entry,59,24,85
33,Bachelor's,6,Logistics,Warehouse Manager,Medium,Mid,35,48,90
59,Bachelor's,19,IT,Data Analyst,Small,Entry,61,33,76
43,Bachelor's,6,Finance,Financial Analyst,Medium,Entry,46,50,86
31,Bachelor's,10,Retail,Store Manager,Medium,Mid,38,45,87
29,PhD,4,Logistics,Dispatcher,Medium,Mid,26,57,92
32,Master's,11,IT,Data Analyst,Small,Entry,94,0,89
56,Master's,5,Education,Research Assistant,Large,Mid,89,8,28
57,Master's,6,IT,Software Engineer,Small,Mid,77,8,56
45,Bachelor's,0,Finance,Accountant,Medium,Entry,17,90,58
36,PhD,11,IT,Data Analyst,Medium,Entry,65,26,29
32,Bachelor's,11,Manufacturing,Operator,Large,Mid,42,47,70
54,High School,7,Retail,Sales Associate,Small,Mid,33,56,52
50,Master's,2,IT,Software Engineer,Small,Entry,83,38,60
49,Bachelor's,9,Finance,Accountant,Small,Mid,42,75,56
40,Master's,19,Manufacturing,Quality Engineer,Medium,Entry,37,64,86
49,High School,5,Healthcare,Nurse,Large,Senior,84,16,74
28,Master's,4,Retail,Sales Associate,Small,Entry,62,41,24
58,Bachelor's,3,IT,ML Engineer,Large,Mid,49,43,74
23,Bachelor's,2,Manufacturing,Production Supervisor,Large,Mid,69,38,89
53,Master's,7,Finance,Auditor,Small,Senior,40,69,36
35,Master's,4,Manufacturing,Operator,Small,Mid,12,89,37
40,Master's,13,Finance,Accountant,Small,Mid,23,77,45
31,Master's,10,Education,Research Assistant,Large,Mid,48,41,56
51,Bachelor's,8,Healthcare,Health Analyst,Small,Senior,10,93,73
24,High School,3,Education,Academic Coordinator,Medium,Entry,93,9,89
52,High School,0,Retail,Sales Associate,Medium,Entry,77,20,74
32,High School,3,Education,Teacher,Medium,Entry,70,47,75
53,PhD,3,IT,Data Analyst,Small,Entry,52,44,50
34,Master's,7,Telecom,Network Engineer,Medium,Senior,53,42,68
57,Bachelor's,18,IT,Software Engineer,Small,Mid,92,0,48
21,Bachelor's,0,Telecom,Support Specialist,Small,Mid,47,63,53
54,High School,17,IT,ML Engineer,Medium,Entry,67,14,94
53,Master's,11,IT,Data Analyst,Medium,Entry,37,44,57
36,Bachelor's,0,Telecom,Operations Analyst,Large,Entry,16,81,45
39,Bachelor's,8,IT,Software Engineer,Medium,Mid,84,28,88
21,PhD,0,Telecom,Operations Analyst,Medium,Mid,17,89,37
48,PhD,1,Logistics,Warehouse Manager,Small,Entry,35,48,58
59,Bachelor's,15,Manufacturing,Production Supervisor,Medium,Entry,80,23,74
37,Bachelor's,1,Retail,Sales Associate,Medium,Mid,64,27,85
29,Bachelor's,8,Manufacturing,Operator,Small,Mid,18,73,93
39,PhD,3,Healthcare,Health Analyst,Small,Entry,73,42,86
48,Bachelor's,15,Retail,Inventory Analyst,Small,Mid,13,90,74
48,Master's,3,Retail,Inventory Analyst,Small,Entry,40,53,77
22,Master's,1,Manufacturing,Quality Engineer,Small,Entry,77,12,34
36,Bachelor's,9,Education,Teacher,Medium,Mid,64,24,76
31,High School,10,IT,Software Engineer,Medium,Entry,48,52,85
43,Bachelor's,11,Telecom,Support Specialist,Small,Entry,51,50,81
26,Master's,3,Logistics,Warehouse Manager,Medium,Entry,54,42,62
24,Bachelor's,3,Healthcare,Medical Assistant,Medium,Entry,27,63,30
29,High School,8,Education,Teacher,Small,Entry,26,77,76
45,Master's,4,Retail,Store Manager,Small,Entry,81,15,66
23,Bachelor's,2,Education,Teacher,Medium,Entry,41,54,97
53,Master's,7,Finance,Financial Analyst,Medium,Entry,62,47,54
31,Bachelor's,1,Retail,Sales Associate,Medium,Mid,74,21,44
54,PhD,14,Education,Academic Coordinator,Small,Mid,46,59,53
25,Bachelor's,4,Healthcare,Medical Assistant,Small,Mid,29,81,73
42,Bachelor's,14,Healthcare,Medical Assistant,Medium,Senior,56,41,68
53,Master's,4,Finance,Financial Analyst,Large,Mid,39,70,23
44,High School,17,Manufacturing,Production Supervisor,Medium,Mid,28,55,90
34,Bachelor's,8,IT,ML Engineer,Small,Entry,91,0,90
21,Bachelor's,0,Healthcare,Health Analyst,Medium,Senior,43,62,69
60,Bachelor's,18,Healthcare,Nurse,Medium,Entry,47,61,66
26,Bachelor's,5,Retail,Sales Associate,Small,Mid,79,8,38
30,Master's,9,Education,Teacher,Large,Senior,13,91,81
26,High School,5,Finance,Accountant,Small,Mid,40,66,58
37,Master's,16,IT,ML Engineer,Large,Mid,83,3,23
55,Bachelor's,4,IT,ML Engineer,Large,Senior,17,74,87
31,Master's,10,Telecom,Operations Analyst,Medium,Mid,15,87,45
35,High School,11,IT,Data Analyst,Small,Entry,18,98,76
57,Master's,7,Retail,Store Manager,Small,Mid,29,67,97
34,Bachelor's,10,Telecom,Operations Analyst,Small,Mid,55,55,43
40,Bachelor's,5,Manufacturing,Production Supervisor,Medium,Entry,32,65,42
53,Bachelor's,11,IT,Software Engineer,Small,Senior,20,82,24
50,Bachelor's,4,Finance,Accountant,Medium,Entry,65,31,38
31,Master's,10,Telecom,Support Specialist,Small,Entry,93,11,42
35,Bachelor's,2,Logistics,Supply Chain Analyst,Medium,Mid,12,93,29
52,Master's,0,Healthcare,Health Analyst,Medium,Entry,82,27,46
32,Bachelor's,11,IT,Data Analyst,Small,Mid,36,54,33
21,Bachelor's,0,Education,Academic Coordinator,Medium,Entry,66,41,41
28,Bachelor's,7,Education,Research Assistant,Medium,Entry,83,33,46
50,Bachelor's,8,Logistics,Warehouse Manager,Medium,Mid,78,43,75
22,High School,1,Healthcare,Nurse,Small,Entry,45,61,73
35,Bachelor's,12,Healthcare,Health Analyst,Medium,Senior,71,33,36
41,Bachelor's,5,Telecom,Support Specialist,Medium,Entry,29,75,47
40,Bachelor's,2,Healthcare,Medical Assistant,Medium,Entry,78,18,75
47,Bachelor's,12,IT,Software Engineer,Medium,Entry,35,56,38
30,Bachelor's,9,Retail,Sales Associate,Small,Entry,59,27,25
43,Bachelor's,1,Healthcare,Nurse,Large,Entry,24,93,76
58,High School,7,Healthcare,Medical Assistant,Small,Mid,65,29,63
52,Master's,8,Education,Academic Coordinator,Medium,Mid,10,87,34
57,Bachelor's,0,Healthcare,Nurse,Small,Mid,24,86,77
49,Master's,16,Manufacturing,Quality Engineer,Medium,Mid,34,75,56
41,Bachelor's,10,Logistics,Supply Chain Analyst,Large,Senior,47,53,30
59,Bachelor's,4,Healthcare,Nurse,Large,Entry,75,22,96
25,Bachelor's,4,Logistics,Supply Chain Analyst,Small,Senior,21,73,57
49,Bachelor's,6,Finance,Financial Analyst,Large,Entry,92,2,31
59,Bachelor's,9,Healthcare,Nurse,Medium,Entry,87,8,78
37,Bachelor's,12,IT,Software Engineer,Small,Mid,13,72,84
40,Bachelor's,8,Retail,Sales Associate,Medium,Mid,40,56,30
58,Bachelor's,9,Healthcare,Nurse,Medium,Mid,30,74,74
54,Bachelor's,3,Healthcare,Nurse,Small,Entry,75,16,69
34,Master's,5,Education,Research Assistant,Medium,Senior,60,27,23
49,High School,7,Finance,Auditor,Medium,Entry,14,84,83
58,Bachelor's,13,Logistics,Dispatcher,Small,Entry,47,69,35
24,Bachelor's,3,IT,ML Engineer,Small,Mid,66,17,77
34,Bachelor's,8,Education,Research Assistant,Medium,Mid,30,83,92
36,High School,10,Finance,Financial Analyst,Medium,Mid,87,19,57
51,High School,4,Finance,Accountant,Large,Mid,39,63,67
21,Bachelor's,0,Telecom,Network Engineer,Large,Entry,58,35,91
45,Bachelor's,6,Education,Academic Coordinator,Large,Entry,58,28,80
38,Bachelor's,8,Finance,Auditor,Large,Entry,45,52,36
23,High School,2,Education,Research Assistant,Small,Entry,74,54,61
30,Bachelor's,9,Logistics,Dispatcher,Small,Mid,53,61,85
56,Bachelor's,7,Logistics,Supply Chain Analyst,Medium,Mid,81,38,56
25,Bachelor's,4,Finance,Financial Analyst,Small,Mid,87,45,23
57,Bachelor's,12,IT,ML Engineer,Medium,Entry,15,74,77
50,PhD,8,IT,Data Analyst,Large,Mid,94,0,84
41,PhD,11,Retail,Sales Associate,Small,Entry,31,71,32
39,Bachelor's,3,Retail,Store Manager,Small,Entry,54,51,68
48,High School,13,Telecom,Operations Analyst,Large,Mid,75,17,71
41,Master's,5,Healthcare,Health Analyst,Medium,Entry,86,4,38
42,High School,8,Logistics,Supply Chain Analyst,Small,Senior,86,15,81
32,High School,5,Manufacturing,Quality Engineer,Medium,Entry,68,27,71
37,Bachelor's,10,Manufacturing,Production Supervisor,Medium,Senior,84,28,40
59,Bachelor's,7,Finance,Auditor,Small,Entry,19,68,44
25,Bachelor's,4,Healthcare,Nurse,Medium,Entry,26,75,93
25,Bachelor's,4,Logistics,Supply Chain Analyst,Large,Entry,35,59,20
41,Bachelor's,13,IT,Software Engineer,Medium,Mid,50,49,34
56,Bachelor's,14,Healthcare,Health Analyst,Small,Mid,12,100,43
57,Master's,11,Retail,Inventory Analyst,Medium,Entry,53,24,40
25,Master's,4,Manufacturing,Operator,Large,Senior,10,89,53
26,Bachelor's,5,Healthcare,Health Analyst,Small,Senior,73,26,69
25,Master's,4,Retail,Store Manager,Medium,Mid,27,81,66
52,Bachelor's,11,Healthcare,Nurse,Large,Entry,85,16,95
42,Bachelor's,16,Manufacturing,Production Supervisor,Medium,Mid,17,68,20
60,High School,8,Manufacturing,Quality Engineer,Medium,Mid,15,88,79
42,High School,5,Logistics,Warehouse Manager,Medium,Senior,34,80,39
36,Bachelor's,15,Retail,Inventory Analyst,Medium,Mid,78,12,93
38,Master's,7,Healthcare,Health Analyst,Medium,Mid,80,23,36
58,Master's,17,Finance,Accountant,Medium,Entry,80,20,80
51,High School,5,Telecom,Support Specialist,Medium,Entry,60,43,84
30,Master's,5,Retail,Inventory Analyst,Large,Mid,67,18,64
50,Master's,5,IT,ML Engineer,Medium,Mid,26,79,72
27,Bachelor's,6,Healthcare,Health Analyst,Large,Mid,93,0,37
58,Master's,16,IT,Software Engineer,Large,Entry,47,49,25
37,Master's,6,IT,ML Engineer,Small,Mid,11,100,30
52,High School,9,Retail,Store Manager,Small,Entry,22,61,80
45,Master's,3,Manufacturing,Operator,Small,Mid,49,52,67
52,Bachelor's,7,Healthcare,Nurse,Medium,Mid,35,60,80
38,Bachelor's,10,Healthcare,Nurse,Medium,Entry,16,95,99
46,Bachelor's,0,Logistics,Warehouse Manager,Small,Senior,41,76,93
31,Bachelor's,0,Education,Teacher,Small,Mid,33,59,83
49,Bachelor's,16,Finance,Accountant,Medium,Mid,53,50,25
51,High School,13,Education,Research Assistant,Small,Entry,57,43,35
37,Bachelor's,8,Retail,Store Manager,Small,Mid,65,33,76
49,Bachelor's,2,Healthcare,Health Analyst,Small,Entry,52,46,79
56,Master's,6,Finance,Financial Analyst,Large,Senior,77,10,51
60,Bachelor's,9,Education,Teacher,Small,Entry,78,5,90
41,High School,5,Telecom,Support Specialist,Medium,Entry,57,36,70
43,Bachelor's,5,Telecom,Network Engineer,Medium,Entry,65,48,79
24,Master's,3,IT,ML Engineer,Large,Mid,40,43,81
46,Bachelor's,2,IT,Data Analyst,Medium,Entry,50,43,75
43,Bachelor's,9,Retail,Sales Associate,Large,Mid,28,69,66
21,High School,0,Logistics,Warehouse Manager,Large,Entry,45,41,77
47,Bachelor's,12,Education,Academic Coordinator,Medium,Senior,70,40,63
22,Bachelor's,0,Finance,Auditor,Small,Mid,22,94,33
47,Master's,2,Retail,Store Manager,Medium,Mid,83,12,86
41,Master's,5,Finance,Auditor,Large,Senior,53,55,68
56,Bachelor's,11,IT,ML Engineer,Large,Entry,12,84,93
56,High School,11,Healthcare,Health Analyst,Medium,Senior,16,72,73
22,High School,1,Finance,Financial Analyst,Medium,Mid,84,0,56
58,Master's,3,Finance,Financial Analyst,Small,Senior,17,74,26
52,Bachelor's,10,Manufacturing,Quality Engineer,Small,Mid,86,29,77
31,Master's,7,IT,Software Engineer,Large,Entry,86,21,24
58,Bachelor's,10,Retail,Store Manager,Medium,Mid,14,100,74
30,High School,1,IT,Data Analyst,Medium,Mid,37,66,88
53,High School,8,Retail,Inventory Analyst,Medium,Mid,52,46,30
42,High School,10,Manufacturing,Production Supervisor,Medium,Entry,68,28,80
45,Bachelor's,8,Telecom,Support Specialist,Large,Entry,69,39,65
41,Bachelor's,6,Healthcare,Nurse,Medium,Entry,89,8,66
43,Bachelor's,9,Finance,Accountant,Medium,Entry,33,75,88
22,Bachelor's,1,Finance,Financial Analyst,Small,Entry,40,66,27
41,Bachelor's,8,Logistics,Supply Chain Analyst,Large,Senior,47,29,22
21,Bachelor's,0,IT,Data Analyst,Medium,Entry,10,80,53
39,Master's,8,Telecom,Operations Analyst,Medium,Mid,28,86,78
44,PhD,7,Education,Academic Coordinator,Medium,Mid,10,94,39
47,Master's,10,Telecom,Support Specialist,Large,Entry,46,58,22
56,Bachelor's,8,IT,Data Analyst,Large,Mid,91,0,85
50,PhD,12,Retail,Inventory Analyst,Medium,Mid,68,37,45
33,Master's,11,Telecom,Network Engineer,Large,Entry,33,60,36
40,Bachelor's,9,Finance,Auditor,Small,Entry,19,94,29
27,Bachelor's,4,Telecom,Support Specialist,Large,Entry,44,52,32
59,Master's,2,Education,Teacher,Small,Mid,32,74,99
52,Bachelor's,9,Manufacturing,Operator,Medium,Entry,19,83,88
47,Master's,7,Manufacturing,Quality Engineer,Medium,Mid,36,85,70
30,Master's,9,Manufacturing,Operator,Small,Mid,81,11,24
52,Bachelor's,2,IT,Data Analyst,Large,Entry,26,66,73
42,Master's,0,Telecom,Support Specialist,Small,Entry,52,33,74
50,Master's,12,Retail,Inventory Analyst,Small,Entry,62,47,75
32,Master's,11,Manufacturing,Operator,Medium,Senior,44,76,67
27,Master's,6,Retail,Inventory Analyst,Medium,Entry,14,95,66
42,Bachelor's,1,Retail,Inventory Analyst,Large,Senior,39,51,93
49,Bachelor's,9,Telecom,Support Specialist,Small,Entry,80,31,38
46,High School,7,IT,Data Analyst,Medium,Entry,45,54,41
29,Master's,8,Telecom,Network Engineer,Medium,Senior,88,19,64
49,High School,11,Logistics,Supply Chain Analyst,Large,Entry,42,66,90
38,High School,6,Healthcare,Nurse,Large,Senior,30,66,97
26,Master's,4,Telecom,Network Engineer,Medium,Senior,28,69,67
24,Bachelor's,3,Telecom,Network Engineer,Medium,Entry,35,80,84
29,Bachelor's,3,Finance,Financial Analyst,Large,Entry,35,74,49
23,Master's,2,Healthcare,Medical Assistant,Medium,Entry,18,75,39
49,Bachelor's,11,Retail,Sales Associate,Small,Entry,85,1,90
47,Bachelor's,14,Healthcare,Health Analyst,Large,Mid,76,22,25
43,Master's,5,Education,Research Assistant,Large,Mid,13,84,26
31,Bachelor's,7,Education,Academic Coordinator,Small,Entry,75,30,73
31,High School,10,Healthcare,Nurse,Small,Mid,85,8,85
47,Bachelor's,8,IT,ML Engineer,Medium,Senior,33,71,77
49,Bachelor's,13,Logistics,Dispatcher,Medium,Entry,76,27,92
56,Bachelor's,3,Finance,Auditor,Large,Mid,55,43,61
28,Bachelor's,4,Telecom,Network Engineer,Medium,Entry,41,67,35
60,Master's,1,Retail,Inventory Analyst,Medium,Entry,37,78,21
28,Bachelor's,7,Manufacturing,Operator,Small,Senior,13,100,38
47,Bachelor's,3,Finance,Auditor,Large,Senior,73,27,31
43,High School,12,Telecom,Support Specialist,Small,Entry,64,50,70
60,Bachelor's,11,Retail,Store Manager,Large,Entry,64,35,95
34,High School,8,Education,Teacher,Medium,Entry,11,91,85
40,High School,5,Healthcare,Health Analyst,Small,Mid,69,26,24
33,Master's,6,Manufacturing,Quality Engineer,Large,Entry,46,53,62
51,High School,16,Healthcare,Medical Assistant,Medium,Entry,90,19,71
46,High School,6,IT,Data Analyst,Medium,Entry,65,43,92
23,Master's,2,Retail,Store Manager,Small,Entry,56,60,97
28,Master's,7,Retail,Sales Associate,Small,Entry,69,26,81
60,Bachelor's,2,Retail,Store Manager,Medium,Mid,88,0,88
37,Bachelor's,3,Retail,Store Manager,Small,Mid,38,78,83
21,Bachelor's,0,Finance,Auditor,Medium,Mid,78,27,84
29,Bachelor's,8,Education,Research Assistant,Small,Mid,39,41,49
34,High School,13,Logistics,Warehouse Manager,Medium,Senior,50,35,61
58,Master's,32,IT,Data Analyst,Small,Entry,73,7,34
29,Bachelor's,8,Manufacturing,Quality Engineer,Medium,Mid,78,12,67
21,Master's,0,Logistics,Dispatcher,Medium,Mid,69,34,90
50,Bachelor's,7,Telecom,Operations Analyst,Large,Entry,46,47,55
21,Master's,0,Manufacturing,Quality Engineer,Large,Senior,29,67,51
25,PhD,4,Education,Academic Coordinator,Small,Entry,20,77,41
36,Bachelor's,5,Telecom,Operations Analyst,Small,Mid,92,19,30
25,Bachelor's,4,Manufacturing,Operator,Large,Entry,84,19,25
30,High School,9,Education,Teacher,Medium,Entry,36,69,86
32,Bachelor's,5,Education,Teacher,Small,Mid,84,3,95
55,Master's,7,Telecom,Support Specialist,Small,Mid,80,29,22
39,Bachelor's,9,Logistics,Warehouse Manager,Medium,Entry,57,46,38
59,High School,15,Telecom,Support Specialist,Large,Mid,17,77,84
54,Bachelor's,17,Telecom,Network Engineer,Large,Senior,18,81,58
28,Bachelor's,7,Telecom,Network Engineer,Large,Senior,53,60,60
38,Bachelor's,6,Manufacturing,Production Supervisor,Medium,Senior,41,77,24
50,Bachelor's,12,Finance,Accountant,Medium,Entry,58,70,50
47,Bachelor's,18,Education,Academic Coordinator,Medium,Mid,92,5,71
54,Bachelor's,7,Education,Teacher,Large,Mid,43,45,82
44,High School,9,IT,ML Engineer,Medium,Senior,11,97,43
56,PhD,2,Education,Research Assistant,Medium,Mid,33,87,28
60,High School,12,Manufacturing,Operator,Medium,Entry,54,43,34
23,Bachelor's,0,Finance,Financial Analyst,Small,Mid,38,70,49
27,Bachelor's,6,Healthcare,Medical Assistant,Medium,Senior,23,76,82
47,Bachelor's,17,Healthcare,Medical Assistant,Medium,Mid,50,45,77
38,Bachelor's,6,Education,Research Assistant,Medium,Entry,52,45,74
31,Master's,4,Telecom,Support Specialist,Small,Mid,79,26,36
57,Bachelor's,5,Manufacturing,Quality Engineer,Large,Entry,15,84,66
53,Bachelor's,8,Healthcare,Nurse,Small,Mid,89,25,68
24,Bachelor's,3,Retail,Store Manager,Small,Entry,47,70,84
35,High School,7,Logistics,Warehouse Manager,Large,Senior,65,53,74
32,Master's,11,Healthcare,Nurse,Small,Entry,14,82,72
31,Master's,10,Education,Research Assistant,Medium,Entry,34,56,71
56,Bachelor's,14,Finance,Financial Analyst,Small,Mid,16,86,68
47,Bachelor's,8,Healthcare,Medical Assistant,Medium,Entry,28,79,74
56,Master's,6,Finance,Financial Analyst,Medium,Entry,46,51,32
60,Bachelor's,1,IT,ML Engineer,Small,Mid,73,19,61
26,Bachelor's,5,Manufacturing,Operator,Large,Entry,83,14,22
29,Bachelor's,4,Retail,Store Manager,Medium,Entry,84,16,86
22,Master's,1,Healthcare,Medical Assistant,Large,Mid,68,45,33
27,Master's,6,Finance,Financial Analyst,Small,Senior,67,34,90
26,Master's,5,Education,Academic Coordinator,Small,Mid,51,53,88
41,Bachelor's,8,Retail,Inventory Analyst,Medium,Senior,85,21,90
48,Bachelor's,2,IT,Data Analyst,Small,Mid,30,70,85
35,Bachelor's,0,Telecom,Network Engineer,Medium,Entry,68,39,22
41,Bachelor's,17,Logistics,Supply Chain Analyst,Medium,Mid,83,1,87
48,Bachelor's,14,Finance,Auditor,Medium,Senior,62,36,37
47,Bachelor's,11,IT,Software Engineer,Medium,Mid,33,57,66
60,Bachelor's,9,Finance,Financial Analyst,Large,Mid,82,20,61
24,Master's,3,Education,Teacher,Small,Entry,70,28,90
46,Master's,7,Healthcare,Nurse,Medium,Entry,54,39,97
50,Bachelor's,23,Finance,Financial Analyst,Medium,Mid,88,2,35
53,Bachelor's,8,Logistics,Supply Chain Analyst,Small,Entry,25,74,56
